question,query
what are the major cities in the state of kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
what major cities are located in kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
show major cities in kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
what are the names of the major cities in kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
what are the major cities of kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
what is the major cities in kansas,"SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ""kansas"";"
what are the major cities in states through which the mississippi runs,"SELECT city_name FROM city WHERE population  >  150000 AND state_name IN ( SELECT traverse FROM river WHERE LENGTH  >  750 AND river_name  =  ""mississippi"" );"
what are the major cities in the usa,SELECT city_name FROM city WHERE population  >  150000;
what are the major cities of the united states,SELECT city_name FROM city WHERE population  >  150000;
what are the major cities of the us,SELECT city_name FROM city WHERE population  >  150000;
what are the population densities of each us state,SELECT density FROM state;
what are the populations of states through which the mississippi river run,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of states through which the mississippi runs,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of the states through which the mississippi runs,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of states through which the mississippi river runs,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of the states through which the mississippi run,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of the states through which the mississippi river run,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of states through which the mississippi run,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of the states through which the mississippi river runs,"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what are the populations of states which border texas,"SELECT t2.population FROM state AS t2 JOIN border_info AS t1 ON t2.state_name  =  t1.border WHERE t1.state_name  =  ""texas"";"
what are the populations of the major cities of wisconsin,"SELECT population FROM city WHERE population  >  150000 AND state_name  =  ""wisconsin"";"
what are the populations of all the major cities in wisconsin,"SELECT population FROM city WHERE population  >  150000 AND state_name  =  ""wisconsin"";"
what is the population of the major cities in wisconsin,"SELECT population FROM city WHERE population  >  150000 AND state_name  =  ""wisconsin"";"
what city has the most people,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what city in the united states has the highest population density,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the most populous city,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
which us city has the highest population density,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the biggest city in the usa,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
whats the largest city,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what city has the largest population,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the biggest city in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the biggest city in usa,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );
what is the biggest capital city in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is the largest capital city in the usa,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is the largest state capital in population,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is the largest capital,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is the most populated capital in the usa,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what capital is the largest in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what capital has the largest population,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is largest capital,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what is the capital of states that have cities named durham,"SELECT t2.capital FROM state AS t2 JOIN city AS t1 ON t2.state_name  =  t1.state_name WHERE t1.city_name  =  ""durham"";"
what is the capital of the smallest state,SELECT capital FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the capital of the state with the largest population density,SELECT DISTINCT capital FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what is the capital of the state with the largest population,SELECT capital FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what is the capital of the state with the most inhabitants,SELECT capital FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );
what is the capital of the state with the longest river,SELECT capital FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) );
what is the combined area of all 50 states,SELECT SUM ( area ) FROM state;
what is the area of all the states combined,SELECT SUM ( area ) FROM state;
how many square kilometers in the us,SELECT SUM ( area ) FROM state;
what is the total area of the usa,SELECT SUM ( area ) FROM state;
what is the density of the wyoming,"SELECT density FROM state WHERE state_name  =  ""wyoming"";"
what is the population density of wyoming,"SELECT density FROM state WHERE state_name  =  ""wyoming"";"
what is the density of wyoming,"SELECT density FROM state WHERE state_name  =  ""wyoming"";"
what is the highest mountain in the us,SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
what is the highest mountain in us,SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
what is the tallest mountain in america,SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
what is the tallest mountain in the united states,SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
what is the highest point in the state with capital des moines,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""des moines"" );"
what is the highest point in the state with the capital des moines,"SELECT highest_point FROM highlow WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""des moines"" );"
what is the highest point in the usa,SELECT highest_point FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point of the usa,SELECT highest_point FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point in the country,SELECT highest_point FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point in the us,SELECT highest_point FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point in the united states,SELECT highest_point FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the highest point of the state with the smallest population density,SELECT highest_point FROM highlow WHERE state_name IN ( SELECT state_name FROM state WHERE density  =  ( SELECT MIN ( density ) FROM state ) );
what is the largest city in smallest state through which the mississippi runs,"SELECT city_name FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) AND area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ) ) ORDER BY population DESC LIMIT 1;"
what is the largest city in the smallest state in the usa,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the biggest city in the smallest state,SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the largest state bordering california,"SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
what is the largest state that borders california,"SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
what state that borders california is the largest,"SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
what is the longest river in the largest state,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) ) ) AND traverse IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what is the longest river in the states that border tennessee,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" ) ) AND traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" );"
what is the longest river that flows through a state that borders tennessee,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" ) ) AND traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" );"
what is the longest river that runs through a state that borders tennessee,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" ) ) AND traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""tennessee"" );"
what is the longest river in the state with the most major cities,SELECT river_name FROM river WHERE traverse  =  ( SELECT state_name FROM city WHERE population  >  150000 GROUP BY state_name ORDER BY COUNT ( city_name ) DESC LIMIT 1 ) ORDER BY LENGTH DESC LIMIT 1;
what is the lowest point in iowa,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
what is the lowest point in iowa in meters,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
what is the lowest point in the state of iowa,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
where is the lowest point in iowa,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
what is the lowest point of iowa,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
where is the lowest spot in iowa,"SELECT lowest_point FROM highlow WHERE state_name  =  ""iowa"";"
what is the lowest point in usa,SELECT lowest_point FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the lowest point in the united states,SELECT lowest_point FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
where is the lowest point in the us,SELECT lowest_point FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the lowest point of the us,SELECT lowest_point FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the lowest point of all states through which the mississippi river runs through,"SELECT lowest_point FROM highlow WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ORDER BY lowest_elevation LIMIT 1;"
which is the lowest point of the states that the mississippi runs through,"SELECT lowest_point FROM highlow WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ORDER BY lowest_elevation LIMIT 1;"
what is the most dense state in the usa,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
which state has the highest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
which state has the greatest density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what state has the highest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what state has the greatest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what state has the largest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what is the state with the largest density in usa,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what is the state with the largest population density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
which state has the largest density,SELECT state_name FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what is the most populous state through which the mississippi runs,"SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what state which the mississippi runs through has the largest population,"SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what is the population density of the largest state,SELECT density FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state );
what is the population of the largest city in the state with the largest area,SELECT population FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state ) );
what is the population of the smallest state,SELECT population FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the population of the state with the highest population density,SELECT population FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
how many people live in the state with the largest population density,SELECT population FROM state WHERE density  =  ( SELECT MAX ( density ) FROM state );
what is the smallest city in the usa,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
what is the smallest city in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
what city has the least population,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
what is the city with the smallest population,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
what is the smallest state bordering texas,"SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
what is the smallest state that borders texas,"SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
which state has the smallest area that borders texas,"SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
what is the smallest state that the mississippi river runs through,"SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what is the state with the smallest area,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
which is the smallest state,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
which state is the smallest,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the smallest state in the usa,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the smallest state by area,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what state has the smallest area,SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );
what is the total length of all rivers in the usa,SELECT SUM ( LENGTH ) FROM river;
what river flows through the most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
which river goes through the most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
which river runs through most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
which river traverses most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
what river traverses the most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
which river runs through the most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
what river runs through the most states,SELECT river_name FROM river GROUP BY ( river_name ) ORDER BY COUNT ( DISTINCT traverse ) DESC LIMIT 1;
what rivers are in states that border alabama,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""alabama"" );"
which rivers run through states bordering alabama,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""alabama"" );"
what rivers flow through states that alabama borders,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name  =  ""alabama"" );"
what state bordering oklahoma has the largest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
which of the states bordering oklahoma has the largest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what state that borders oklahoma has the highest population,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what is the most populated state bordering oklahoma,"SELECT state_name FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""oklahoma"" ) ORDER BY population DESC LIMIT 1;"
what state contains the highest point of those the colorado river traverses,"SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""colorado"" ) );"
what state has the largest capital,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
which state 's capital city is the largest,SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
what state has the longest river,SELECT DISTINCT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( DISTINCT LENGTH ) FROM river );
what state has the smallest urban population,SELECT state_name FROM city GROUP BY state_name ORDER BY SUM ( population ) LIMIT 1;
what states border states that border colorado,"SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""colorado"" );"
what states border states that the mississippi runs through,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
which states border states through which the mississippi traverses,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what states border states which the mississippi runs through,"SELECT border FROM border_info WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );"
what states border texas and have a major river,"SELECT state_name FROM border_info WHERE border  =  ""texas"" AND state_name IN ( SELECT traverse FROM river WHERE LENGTH  >  750 );"
what states border the most populous state,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what are the states that border the state with the greatest population,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );
what states border the state with the smallest area,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
which states border the state with the smallest area,SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what states contain at least one major rivers,SELECT traverse FROM river WHERE LENGTH  >  750;
where are mountains,SELECT state_name FROM mountain;
where is the highest mountain of the united states,SELECT state_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
which state has the highest peak in the country,SELECT state_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain );
where is the smallest city,SELECT state_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city );
which is the density of the state that the largest river in the united states runs through,SELECT density FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river ) );
which is the highest peak not in alaska,"SELECT mountain_name FROM mountain WHERE mountain_altitude  =  ( SELECT MAX ( mountain_altitude ) FROM mountain WHERE state_name != ""alaska"" );"
which rivers do not run through tennessee,"SELECT river_name FROM river WHERE river_name NOT IN ( SELECT river_name FROM river WHERE traverse  =  ""tennessee"" );"
what rivers do not run through tennessee,"SELECT river_name FROM river WHERE river_name NOT IN ( SELECT river_name FROM river WHERE traverse  =  ""tennessee"" );"
which rivers do not run through usa,"SELECT river_name FROM river WHERE country_name != ""usa"";"
which rivers run through states that border the state with the capital atlanta,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""atlanta"" ) );"
what rivers run through the states that border the state with the capital atlanta,"SELECT river_name FROM river WHERE traverse IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT state_name FROM state WHERE capital  =  ""atlanta"" ) );"
which state capital has the smallest population,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( t1.population ) FROM state AS t2 JOIN city AS t1 ON t2.capital  =  t1.city_name );
which state has the highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
which state has the highest point,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state has the highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
in which state does the highest point in usa exist,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state has highest elevation,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the state with the highest elevation in the united states,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what is the state that contains the highest point,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
what state contains the highest point in the us,SELECT state_name FROM highlow WHERE highest_elevation  =  ( SELECT MAX ( highest_elevation ) FROM highlow );
which state has the lowest elevation,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the name of the state with the lowest point,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
what is the state with the lowest point,SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow );
which state has the lowest point that borders idaho,"SELECT state_name FROM highlow WHERE lowest_elevation  =  ( SELECT MIN ( lowest_elevation ) FROM highlow WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""idaho"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""idaho"" );"
which state has the smallest average urban population,SELECT state_name FROM city GROUP BY state_name ORDER BY AVG ( population ) LIMIT 1;
which state is mount whitney in,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
in what state is mount whitney,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
where is mount whitney,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
where is mount whitney located,"SELECT state_name FROM mountain WHERE mountain_name  =  ""whitney"";"
which states have a river,SELECT traverse FROM river;
what states have rivers running through them,SELECT traverse FROM river;
which states have a major city named austin,"SELECT state_name FROM city WHERE city_name  =  ""austin"" AND population  >  150000;"
what is the largest city in a state that borders california,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
what is the largest city in states that border california,"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""california"" );"
how many rivers do not traverse the state with the capital albany,"SELECT COUNT ( river_name ) FROM river WHERE traverse NOT IN ( SELECT state_name FROM state WHERE capital  =  ""albany"" );"
what is the shortest river in texas,"SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river WHERE traverse  =  ""texas"" ) AND traverse  =  ""texas"";"
what are the major cities in the smallest state in the us,SELECT city_name FROM city WHERE population  >  150000 AND state_name  =  ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the population of the capital of the largest state through which the mississippi runs,"SELECT population FROM city WHERE city_name  =  ( SELECT capital FROM state WHERE area  =  ( SELECT MAX ( t1.area ) FROM state AS t1 JOIN river AS t2 ON t1.state_name  =  t2.traverse WHERE t2.river_name  =  ""mississippi"" ) );"
what is the shortest river in the usa,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river in the us,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the shortest river in the united states,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
which is the shortest river,SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MIN ( LENGTH ) FROM river );
what is the capital of the state that borders the state that borders texas,"SELECT capital FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) );"
what is the smallest city of the smallest state in the us,SELECT city_name FROM city WHERE population  =  ( SELECT MIN ( population ) FROM city WHERE state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) ) ) AND state_name IN ( SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state ) );
what is the population of the largest state that borders texas,"SELECT population FROM state WHERE area  =  ( SELECT MAX ( area ) FROM state WHERE state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" ) ) AND state_name IN ( SELECT border FROM border_info WHERE state_name  =  ""texas"" );"
what state is salem the capital of,"SELECT state_name FROM state WHERE capital  =  ""salem"";"
